|usefulRound|expectationwhy|stepsA|stepsB|expoFirst|usefulWhy|expectationbinary|usefulBinary|expectationRound|comments
0|[0, 0, 0, 0, 0]|I didn't see much of a difference between the two.|[18, 2, 15, 21, 3]|[6, 9, 16, 30, 78]|True|I didn't find any condition more useful than the otehr.|0|0|[0, 0, 0, 0, 0]|
1|[1, 1, 0, 0, -1]|I felt that A was capable of providing me with a better understanding of what was going to happen when I took an action.|[9, 2, 11, 1, 4]|[6, 4, 14, 9, 3]|False|A was more useful more of the time.|1|1|[1, 1, 0, 0, -1]|
2|[1, 1, 0, 1, 1]|The actual price changes were closer to the predicted changes.|[5, 3, 3, 4, 2]|[17, 10, 3, 6, 7]|True|It was more predictable. It varied from the predicted price change by a significantly smaller margin so it was quicker to use.|1|1|[1, 1, 0, -1, 1]|
3|[1, 1, -1, 1, 1]|Condition A because the it seemed to change the price in fewer clicks. And get to the target price with less clicks.|[10, 10, 6, 3, 4]|[41, 32, 5, 17, 27]|True|Condition A the numbers seemed to hit the target price faster.|1|1|[0, -1, 1, 1, 1]|Great survey thank you.
4|[0, 1, 0, 1, -1]|Both seemed to match my expectations in some rounds, and not match in other rounds.|[4, 2, 4, 6, 12]|[2, 4, 2, 26, 8]|True|I was pretty confused by both of them.  Neither seemed very useful.|0|0|[0, 1, 0, 1, -1]|I was very confused by the task in general.
5|[1, 1, 1, 1, 1]|just seemed more reasonable that it would act this way|[80, 10, 15, 28, 12]|[76, 25, 1, 11, 17]|True|it just seemed to be more in line with how things would work|1|1|[1, 1, 1, 1, 1]|
6|[0, -1, -1, 1, 0]|condition b appeared to flucuate properly with minor adjustments |[119, 21, 25, 39, 21]|[186, 24, 37, 48, 1]|True|it seemed to bounce around and was unreliable to me|-1|-1|[0, -1, -1, 1, 0]|
7|[1, 1, 0, 1, -1]|I also thought it was condition A. This was because I expected an inaccurate change as was said at the beginning of the task, but it was in an acceptable value and not too distant, and condition A was the one that most corresponded to my expectations, not presenting as many distortions as it presented to B.|[5, 6, 5, 7, 13]|[8, 8, 4, 10, 1]|False|Most of the time it was condition A, as it was the one that most corresponded well to my changes, making me reach the stipulated value more easily and quickly.|1|1|[1, 1, 0, 1, -1]|This was a very different study from the ones I found here, I found it very interesting and really good. Congratulations on the job!
8|[-1, -1, 0, -1, 0]|In Condition A the predictions seemed completely unrelated to how the price actually changed.|[15, 6, 2, 6, 2]|[6, 2, 2, 3, 1]|False|I could more accurately predict what the effects of changing each thing would be. |-1|-1|[-1, -1, 0, -1, 0]|
9|[1, 1, -1, 1, 1]|It was simpler to complete|[17, 20, 18, 7, 12]|[21, 34, 8, 47, 76]|True|It was simpler to complete .|1|1|[1, 1, -1, 1, 1]|none
10|[0, 1, -1, 1, -1]|Condition B matched my price expectation better since it reached the goal quicker.|[5, 21, 39, 6, 10]|[28, 4, 1, 22, 2]|False|The estimates for Condition B were better and required fewer clicks to reach the target range.|-1|-1|[0, -1, -1, 1, -1]|No.
11|[-1, -1, -1, -1, 1]|It was easier to manipulate the resuls|[11, 5, 11, 8, 3]|[2, 3, 4, 6, 2]|False|It was easier to get to the Target InBetween|-1|-1|[-1, -1, -1, -1, 1]|None
12|[0, 0, 0, 0, 0]|there was nt much difference from what i could understand|[4, 25, 58, 46, 28]|[2, 30, 80, 26, 63]|True|they both seemed pretty much exactly the same|0|0|[0, 0, 0, 0, 0]|
13|[1, -1, -1, 0, 0]|same answer as #2|[2, 24, 8, 4, 5]|[5, 8, 6, 4, 2]|False|I don't feel that I had enough of a chance to work with the different items to get a feel for which condition overall would be better.|0|0|[1, -1, -1, 0, 0]|Interesting but I think there should be many more trials.
14|[0, -1, 0, 1, 1]|I feel that A operated in a manner that tended to be more predictable in nature.|[8, 3, 6, 2, 2]|[9, 3, 5, 3, 2]|False|I fond it to closely match the aligned values that were displayed.|1|1|[1, -1, 0, 1, 1]|none
15|[-1, 1, 1, 1, 1]|I thought they both would perform evenly |[7, 1, 5, 2, 3]|[1, 9, 12, 4, 7]|True|It seemed to produce the most consistent results|0|1|[0, 0, 0, 0, 0]|
