"","autompgs","communities","day","housing","music","winequality.red"
"MSE","0.14 (0.027)","0.49 (0.053)","0.001 (0.00031)","0.14 (0.051)","0.72 (0.085)","0.65 (0.058)"
"MSE Reg","0.13 (0.02)","0.46 (0.034)","1.7e-06 (1.7e-06)","0.15 (0.05)","0.67 (0.085)","0.64 (0.062)"
"MSE 1D","0.13 (0.021)","0.55 (0.037)","0.0058 (0.0088)","0.15 (0.071)","0.74 (0.074)","0.66 (0.058)"
"MAPLE-PF","0.016 (0.0088)","0.16 (0.021)","0.001 (0.00031)","0.057 (0.024)","0.17 (0.064)","0.013 (0.0078)"
"MAPLE-PF Reg","0.0014 (0.00056)","0.13 (0.014)","2.4e-07 (3.3e-07)","0.028 (0.013)","0.14 (0.031)","0.0027 (0.001)"
"MAPLE-PF 1D","0.0076 (0.0038)","0.092 (0.032)","0.00076 (3e-04)","0.027 (0.012)","0.13 (0.054)","0.0016 (0.00074)"
"MAPLE-NF","0.018 (0.0097)","0.31 (0.037)","0.0012 (0.00032)","0.066 (0.024)","0.18 (0.067)","0.013 (0.0079)"
"MAPLE-NF Reg","0.0015 (0.00064)","0.24 (0.05)","3.2e-07 (3.9e-07)","0.033 (0.014)","0.14 (0.033)","0.0028 (0.001)"
"MAPLE-NF 1D","0.0084 (0.004)","0.16 (0.054)","0.00094 (0.00036)","0.032 (0.013)","0.14 (0.057)","0.0017 (0.00077)"
"MAPLE-Stability","0.015 (0.0099)","1.2 (0.2)","2.6e-07 (8.2e-07)","0.18 (0.14)","0.081 (0.061)","0.0043 (0.002)"
"MAPLE-Stability Reg","0.0017 (5e-04)","0.77 (0.35)","4e-07 (4.3e-07)","0.1 (0.078)","0.05 (0.024)","0.00092 (0.00039)"
"MAPLE-Stability 1D","0.0077 (0.0051)","0.6 (0.23)","0.0012 (0.00066)","0.088 (0.064)","0.045 (0.024)","4e-04 (2e-04)"
"LIME-PF","0.04 (0.011)","0.1 (0.013)","0.0012 (0.00037)","0.14 (0.036)","0.11 (0.037)","0.033 (0.013)"
"LIME-PF Reg","0.011 (0.0028)","0.08 (0.0071)","4.1e-05 (6.5e-06)","0.057 (0.017)","0.066 (0.011)","0.0025 (0.00062)"
"LIME-PF 1D","0.029 (0.007)","0.079 (0.026)","0.00098 (0.00038)","0.064 (0.017)","0.08 (0.039)","0.0029 (0.0011)"
"LIME-NF","0.041 (0.012)","0.11 (0.012)","0.0012 (0.00036)","0.14 (0.037)","0.11 (0.037)","0.033 (0.014)"
"LIME-NF Reg","0.011 (0.0028)","0.079 (0.0068)","4.2e-05 (6.8e-06)","0.057 (0.018)","0.066 (0.011)","0.0025 (0.00062)"
"LIME-NF 1D","0.029 (0.0069)","0.08 (0.027)","0.001 (0.00039)","0.064 (0.017)","0.08 (0.039)","0.0029 (0.0011)"
"LIME-Stability","0.0011 (0.00056)","0.022 (0.0025)","0.00015 (2.1e-05)","0.0047 (0.0012)","0.011 (0.0046)","0.0013 (0.00057)"
"LIME-Stability Reg","0.00012 (2.7e-05)","0.0045 (0.0011)","4.4e-06 (4e-06)","0.0012 (0.00019)","0.0023 (0.00041)","7.4e-05 (1.6e-05)"
"LIME-Stability 1D","0.00078 (0.00029)","0.018 (0.0079)","1e-04 (4.7e-05)","0.0025 (0.00073)","0.0084 (0.0052)","0.00016 (5.2e-05)"
