"","autompgs","communities","day","housing","music","winequality.red"
"MSE",0.14,0.49,0.001,0.14,0.72,0.65
"MSE Reg",0.13,0.46,1.7e-06,0.15,0.67,0.64
"MSE 1D",0.13,0.55,0.0058,0.15,0.74,0.66
"MAPLE-PF",0.016,0.16,0.001,0.057,0.17,0.013
"MAPLE-PF Reg",0.0014,0.13,2.4e-07,0.028,0.14,0.0027
"MAPLE-PF 1D",0.0076,0.092,0.00076,0.027,0.13,0.0016
"MAPLE-NF",0.018,0.31,0.0012,0.066,0.18,0.013
"MAPLE-NF Reg",0.0015,0.24,3.2e-07,0.033,0.14,0.0028
"MAPLE-NF 1D",0.0084,0.16,0.00094,0.032,0.14,0.0017
"MAPLE-Stability",0.015,1.2,2.6e-07,0.18,0.081,0.0043
"MAPLE-Stability Reg",0.0017,0.77,4e-07,0.1,0.05,0.00092
"MAPLE-Stability 1D",0.0077,0.6,0.0012,0.088,0.045,4e-04
"LIME-PF",0.04,0.1,0.0012,0.14,0.11,0.033
"LIME-PF Reg",0.011,0.08,4.1e-05,0.057,0.066,0.0025
"LIME-PF 1D",0.029,0.079,0.00098,0.064,0.08,0.0029
"LIME-NF",0.041,0.11,0.0012,0.14,0.11,0.033
"LIME-NF Reg",0.011,0.079,4.2e-05,0.057,0.066,0.0025
"LIME-NF 1D",0.029,0.08,0.001,0.064,0.08,0.0029
"LIME-Stability",0.0011,0.022,0.00015,0.0047,0.011,0.0013
"LIME-Stability Reg",0.00012,0.0045,4.4e-06,0.0012,0.0023,7.4e-05
"LIME-Stability 1D",0.00078,0.018,1e-04,0.0025,0.0084,0.00016
