"","autompgs","communities","day","housing","music","winequality.red"
"MSE",0.14,0.49,0.001,0.14,0.72,0.65
"MSE L2",0.13,0.47,0.00012,0.15,0.68,0.67
"MSE L1",0.12,0.46,1.7e-05,0.15,0.68,0.67
"MAPLE-PF",0.016,0.16,0.001,0.057,0.17,0.013
"MAPLE-PF L2",0.015,0.17,3.2e-05,0.05,0.17,0.02
"MAPLE-PF L1",0.014,0.17,1.6e-05,0.054,0.17,0.015
"MAPLE-NF",0.018,0.31,0.0012,0.066,0.18,0.013
"MAPLE-NF L2",0.016,0.32,4.3e-05,0.058,0.17,0.021
"MAPLE-NF L1",0.016,0.32,2.6e-05,0.065,0.18,0.016
"MAPLE-Stability",0.015,1.2,2.6e-07,0.18,0.081,0.0043
"MAPLE-Stability L2",0.011,1.3,3.2e-06,0.17,0.065,0.0058
"MAPLE-Stability L1",0.013,1.2,3e-07,0.21,0.072,0.004
"LIME-PF",0.04,0.1,0.0012,0.14,0.11,0.033
"LIME-PF L2",0.037,0.12,0.00014,0.12,0.099,0.047
"LIME-PF L1",0.035,0.12,0.00017,0.13,0.1,0.034
"LIME-NF",0.041,0.11,0.0012,0.14,0.11,0.033
"LIME-NF L2",0.037,0.12,0.00015,0.12,0.099,0.047
"LIME-NF L1",0.036,0.12,0.00018,0.13,0.1,0.034
"LIME-Stability",0.0011,0.022,0.00015,0.0047,0.011,0.0013
"LIME-Stability L2",0.00097,0.032,1.7e-05,0.004,0.011,0.0021
"LIME-Stability L1",0.0012,0.03,3e-05,0.0048,0.011,0.0016
