"","autompgs","communities","day","housing","music","winequality.red"
"MSE",0.0058,0.026,0.00035,0.019,0.038,0.0052
"MSE Reg",0.0092,0.03,6.1e-05,0.021,0.046,0.001
"MSE 1D",0.023,1,0.00075,0.12,0.085,0.0037
"MAPLE-PF",3e-04,0.0052,4.8e-05,0.0011,0.0028,0.00084
"MAPLE-PF Reg",0.016,0.012,4.1e-05,0.022,0.021,0.0019
"MAPLE-PF 1D",0.009,0.36,0.00081,0.035,0.075,0.0053
"MAPLE-NF",0.017,0.51,1.6e-05,0.21,0.042,0.006
"MAPLE-NF Reg",0.022,0.041,0.00011,0.045,0.076,0.041
"MAPLE-NF 1D",0.0078,0.042,0.00036,0.028,0.03,0.0076
"MAPLE-Stability",0.029,0.047,0.00035,0.047,0.092,0.058
"MAPLE-Stability Reg",0.036,0.86,0.00013,0.26,0.099,0.00096
"MAPLE-Stability 1D",0.007,0.019,0.0015,0.0098,0.012,0.004
"LIME-PF",0.0095,0.16,0.00072,0.054,0.046,0.0072
"LIME-PF Reg",0.00027,0.0044,8.8e-06,0.00052,0.0012,6.2e-05
"LIME-PF 1D",0.006,0.06,0.00058,0.011,0.053,0.0043
"LIME-NF",0.0052,0.012,0.0017,0.011,0.01,0.0061
"LIME-NF Reg",0.0074,0.0068,0.0015,0.0082,0.0038,0.0015
"LIME-NF 1D",0.0086,0.035,0.00034,0.024,0.028,0.0067
"LIME-Stability",0.0072,0.021,0.00059,0.025,0.021,0.012
"LIME-Stability Reg",0.015,0.012,5.2e-05,0.02,0.02,0.002
"LIME-Stability 1D",0.021,0.047,0.00069,0.027,0.07,0.05
